A,1992Sears Scatt X.S.
1,82.03
2,7.64
3,3.03
3,6
4,1.34
6,0.97
7,1.4
10,3.1
11,5.77
12,5.559
13,4.84
14,11.53
15,5.21
16,4.232
17,4.2
18,4.29
20,2.695
21,5.7
22,1.88
24,4.03
25,1.93
26,3
28,2.12
29,2.78
30,2.64
32,0.988
33,3.1
34,1.52
36,1.1
35,21.8
37,1.19
36,77.9
38,1.5
40,0.421
39,2.01
40,1.6
41,1.2
40,2.9
42,1.42
43,0.8
44,0.25
48,0.019
46,3.05
47,3.2
48,4.65
49,3.4
50,4.8
50,7.8
51,5.09
50,2.54
52,3.042
53,8.15
54,2.6
54,2.2
56,12.42
57,1
58,28
58,26.1
60,0.99
61,9.2
62,9.5
64,0.017
63,5.2
65,14.5
64,3.42
66,4.48
67,7.46
68,4.57
70,4.5
69,7.89
71,5.23
70,12.6
72,9.1
73,4.7
74,7.2
76,8
74,0.1
76,18.7
77,8.65
78,8.5
80,7.03
82,5.05
79,5.96
81,5.84
84,6.6
86,8.2
85,6.7
87,7.1
84,6
86,4.04
87,7.4
88,6.42
90,5.1
91,9.7
92,6.9
94,8.4
96,3.8
92,6
94,5.81
95,6.5
96,4.83
97,7.1
98,5.44
100,5.69
102,144.8
104,4.483
102,7.5
104,7.5
105,4.6
106,5.1
108,2.1
110,7.5
107,7.3
109,2.5
106,3.1
108,3.7
110,4.4
111,5.6
112,5.1
113,12.4
114,7.1
116,5
113,3.65
115,2.57
112,4.5
115,4.8
116,4.42
117,5.6
118,4.63
119,5
120,5.29
122,4.14
124,4.48
121,4.1
123,3.64
120,3.5
122,1.8
123,0.52
124,8
125,3.18
126,3.88
128,4.36
130,4.55
130,1.6
132,7.6
134,4.08
135,3.2
136,3.03
137,6.4
138,2.94
138,8.5
139,9.66
136,4.23
138,5.64
140,2.94
142,2.84
142,7.5
143,80
144,1
145,30
146,9.5
148,4.1
150,3.5
144,1
147,39
148,1
150,25
152,3.1
154,11
151,8.6
153,9.8
152,13
154,13
155,66
156,5
157,1044
158,10
160,10.52
156,4.7
158,5
160,5.6
161,16
162,0.25
163,3.3
164,307
162,9.7
164,8.4
166,14.1
167,1.2
168,6.9
170,11.6
168,2.13
170,5.8
171,15.6
172,11.2
173,15
174,46.8
176,9.6
175,7.2
176,5.9
174,15
176,5.5
177,0.2
178,4.4
179,7.1
180,21.9
180,7
181,6.01
180,3
182,6.1
183,5.7
184,7.03
186,0.065
185,10.7
187,11.9
184,13
186,17
187,13
188,7.3
189,14.9
190,15.2
192,16.6
190,10
192,12.3
194,14
195,9.9
196,12.3
198,7.6
196,115
199,66
202,9.828
203,6.28
205,11.4
204,12.3
206,10.68
207,10.82
208,11.34
233,12.9
234,19.3
235,14
238,8.871
238,25
239,7.7
240,1.54
242,8.2
244,11.3
246,10.9
248,7.5
